Date,Visitor,Visitor Score,Home Team,Home Score,Line,Winning,Winning Points,Losing,Losing Points,Year
10/5/91,Memphis,21,Missouri,31,2,Missouri,31,Memphis,21,1991
10/5/91,Miami-Ohio,27,UL-Lafayette,14, ,Miami-Ohio,27,UL-Lafayette,14,1991
10/5/91,Michigan,43,Iowa,24,0,Michigan,43,Iowa,24,1991
10/5/91,Minnesota,3,Illinois,24,15,Illinois,24,Minnesota,3,1991
10/5/91,Mississippi,35,Kentucky,14,-4,Mississippi,35,Kentucky,14,1991
10/5/91,Notre Dame,42,Stanford,26,-9.5,Notre Dame,42,Stanford,26,1991
10/5/91,New Mexico,17,Fresno State,94, ,Fresno State,94,New Mexico,17,1991
10/5/91,New Mexico State,6,Oregon,29, ,Oregon,29,New Mexico State,6,1991
10/5/91,Ohio,13,Toledo,17, ,Toledo,17,Ohio,13,1991
10/5/91,Oklahoma,29,Iowa State,8,-19,Oklahoma,29,Iowa State,8,1991
10/5/91,Oklahoma State,3,Miami-Florida,40,36,Miami-Florida,40,Oklahoma State,3,1991
10/5/91,Oregon State,7,Washington State,55,15,Washington State,55,Oregon State,7,1991
10/5/91,Penn State,24,Temple,7,-23,Penn State,24,Temple,7,1991
10/5/91,Purdue,17,Northwestern,14,-2.5,Purdue,17,Northwestern,14,1991
10/5/91,Rice,7,Texas,28,15,Texas,28,Rice,7,1991
10/5/91,San Diego State,47,Hawaii,21,3.5,San Diego State,47,Hawaii,21,1991
10/5/91,Southern Miss,10,Auburn,9,12,Southern Miss,10,Auburn,9,1991
10/5/91,S-M-U,31,Tulane,17,7,S-M-U,31,Tulane,17,1991
10/5/91,Syracuse,14,Florida State,46,18,Florida State,46,Syracuse,14,1991
10/5/91,Texas A+M,37,Texas Tech,14,-11.5,Texas A+M,37,Texas Tech,14,1991
10/5/91,Utah,15,Arizona State,21,15,Arizona State,21,Utah,15,1991
10/5/91,Vanderbilt,13,Duke,17,15,Duke,17,Vanderbilt,13,1991
10/5/91,Virginia Tech,20,West Virginia,14,1.5,Virginia Tech,20,West Virginia,14,1991
10/5/91,Wisconsin,16,Ohio State,31,23,Ohio State,31,Wisconsin,16,1991
10/5/91,Western Michigan,25,Ball State,16, ,Western Michigan,25,Ball State,16,1991
10/5/91,William + Mary,36,North Carolina,59, ,North Carolina,59,William + Mary,36,1991
10/5/91,Wyoming,28,Air Force,51,4,Air Force,51,Wyoming,28,1991
10/12/91,Air Force,46,Navy,6,-14,Air Force,46,Navy,6,1991
10/12/91,Arkansas State,14,Louisiana State,70, ,Louisiana State,70,Arkansas State,14,1991
10/12/91,Arizona,14,U.C.L.A.,54,14.5,U.C.L.A.,54,Arizona,14,1991
10/12/91,Auburn,24,Vanderbilt,22,-18.5,Auburn,24,Vanderbilt,22,1991
10/12/91,Arizona State,24,Oregon State,7,-21,Arizona State,24,Oregon State,7,1991
10/12/91,Ball State,10,Eastern Michigan,8, ,Ball State,10,Eastern Michigan,8,1991
10/12/91,Bowling Green,45,Ohio,14, ,Bowling Green,45,Ohio,14,1991
10/12/91,Cincinnati,38,Kent State,19, ,Cincinnati,38,Kent State,19,1991
10/12/91,The Citadel,20,Army,14, ,The Citadel,20,Army,14,1991
10/12/91,Cornell,6,Stanford,56,44,Stanford,56,Cornell,6,1991
10/12/91,Cal-San Luis Obispo,28,Pacific,63, ,Pacific,63,Cal-San Luis Obispo,28,1991
10/12/91,East Carolina,23,Syracuse,20,11.5,East Carolina,23,Syracuse,20,1991
10/12/91,Georgia,37,Mississippi,17,1.5,Georgia,37,Mississippi,17,1991
10/12/91,Houston,17,Arkansas,29,-10.5,Arkansas,29,Houston,17,1991
10/12/91,Iowa,10,Wisconsin,6,-19,Iowa,10,Wisconsin,6,1991
10/12/91,Kansas,12,Kansas State,16,-8.5,Kansas State,16,Kansas,12,1991
10/12/91,Kentucky,6,Mississippi State,31,13.5,Mississippi State,31,Kentucky,6,1991
10/12/91,Long Beach State,14,Fresno State,42, ,Fresno State,42,Long Beach State,14,1991
10/12/91,Louisville,3,Boston College,33,2,Boston College,33,Louisville,3,1991
10/12/91,Louisiana Tech,12,South Carolina,12, ,Louisiana Tech,12,South Carolina,12,1991
10/12/91,Maine,17,Rutgers,40, ,Rutgers,40,Maine,17,1991
10/12/91,Maryland,10,Georgia Tech,34,14.5,Georgia Tech,34,Maryland,10,1991
10/12/91,Miami-Ohio,10,Central Michigan,10, ,Miami-Ohio,10,Central Michigan,10,1991
10/12/91,Michigan,45,Michigan State,28,-26,Michigan,45,Michigan State,28,1991
10/12/91,Missouri,7,Colorado,55,18.5,Colorado,55,Missouri,7,1991
10/12/91,Nebraska,49,Oklahoma State,15,-27,Nebraska,49,Oklahoma State,15,1991
10/12/91,New Mexico,24,San Diego State,38,31.5,San Diego State,38,New Mexico,24,1991
10/12/91,Northwestern,6,Indiana,44,20,Indiana,44,Northwestern,6,1991
10/12/91,Ohio State,7,Illinois,10,3.5,Illinois,10,Ohio State,7,1991
10/12/91,Oklahoma,7,Texas,10,-6,Texas,10,Oklahoma,7,1991
10/12/91,Oregon,7,California,45,10.5,California,45,Oregon,7,1991
10/12/91,Penn State,20,Miami-Florida,26,10,Miami-Florida,26,Penn State,20,1991
10/12/91,Pittsburgh,7,Notre Dame,42,14.5,Notre Dame,42,Pittsburgh,7,1991
10/12/91,Purdue,3,Minnesota,6,4,Minnesota,6,Purdue,3,1991
10/12/91,Rice,20,Baylor,17,21,Rice,20,Baylor,17,1991
10/12/91,Southern Cal,34,Washington State,27,-7.5,Southern Cal,34,Washington State,27,1991
10/12/91,San Jose State,39,New Mexico State,13, ,San Jose State,39,New Mexico State,13,1991
10/12/91,Southern Miss,12,Memphis,17,-3,Memphis,17,Southern Miss,12,1991
10/12/91,Temple,9,West Virginia,10,13,West Virginia,10,Temple,9,1991
10/12/91,Tennessee,18,Florida,35,4.5,Florida,35,Tennessee,18,1991
10/12/91,Toledo,0,Washington,48, ,Washington,48,Toledo,0,1991
10/12/91,Texas Tech,38,S-M-U,14,-5,Texas Tech,38,S-M-U,14,1991
10/12/91,Tulane,0,Alabama,62,31,Alabama,62,Tulane,0,1991
10/12/91,Tulsa,34,UL-Lafayette,20,-8.5,Tulsa,34,UL-Lafayette,20,1991
10/12/91,Nevada-Las Vegas,25,Fullerton State,3, ,Nevada-Las Vegas,25,Fullerton State,3,1991
10/12/91,Utah,57,Wyoming,42,2.5,Utah,57,Wyoming,42,1991
10/12/91,UTEP,29,Brigham Young,31,24,Brigham Young,31,UTEP,29,1991
10/12/91,Virginia,20,Clemson,20,10,Virginia,20,Clemson,20,1991
10/12/91,Virginia Tech,20,Florida State,33,27.5,Florida State,33,Virginia Tech,20,1991
10/12/91,Wake Forest,10,North Carolina,24,20.5,North Carolina,24,Wake Forest,10,1991
10/12/91,Western Michigan,22,Northern Illinois,10, ,Western Michigan,22,Northern Illinois,10,1991
10/12/91,Youngstown State,24,Akron,38, ,Akron,38,Youngstown State,24,1991
10/19/91,Arkansas State,23,Akron,28, ,Akron,28,Arkansas State,23,1991
10/19/91,Army,37,Louisville,12,8,Army,37,Louisville,12,1991
10/19/91,Cincinnati,9,Virginia Tech,56,27.5,Virginia Tech,56,Cincinnati,9,1991
10/19/91,Central Michigan,23,Kent State,7, ,Central Michigan,23,Kent State,7,1991
10/19/91,Colorado,34,Oklahoma,17,4.5,Colorado,34,Oklahoma,17,1991
10/19/91,Colorado State,16,Utah,21,7,Utah,21,Colorado State,16,1991
10/19/91,Fresno State,42,New Mexico State,28, ,Fresno State,42,New Mexico State,28,1991
10/19/91,Fullerton State,3,Utah State,26, ,Utah State,26,Fullerton State,3,1991
10/19/91,Georgia,25,Vanderbilt,27,-15,Vanderbilt,27,Georgia,25,1991
10/19/91,Georgia Tech,14,South Carolina,23,-7,South Carolina,23,Georgia Tech,14,1991
10/19/91,Hawaii,18,Brigham Young,35,21,Brigham Young,35,Hawaii,18,1991
10/19/91,Iowa State,0,Kansas,41,4.5,Kansas,41,Iowa State,0,1991
10/19/91,Illinois,21,Iowa,24,6,Iowa,24,Illinois,21,1991
10/19/91,Indiana,16,Michigan,24,18.5,Michigan,24,Indiana,16,1991
10/19/91,Kansas State,31,Nebraska,38,33.5,Nebraska,38,Kansas State,31,1991
10/19/91,Long Beach State,0,Miami-Florida,55, ,Miami-Florida,55,Long Beach State,0,1991
10/19/91,Louisiana State,29,Kentucky,26,4,Louisiana State,29,Kentucky,26,1991
10/19/91,Marshall,14,No Carolina State,15, ,No Carolina State,15,Marshall,14,1991
10/19/91,Maryland,23,Wake Forest,22,-10.5,Maryland,23,Wake Forest,22,1991
10/19/91,Memphis,28,Mississippi State,23,10,Memphis,28,Mississippi State,23,1991
10/19/91,Minnesota,12,Michigan State,20,3,Michigan State,20,Minnesota,12,1991
10/19/91,Middle Tennessee,10,Florida State,39, ,Florida State,39,Middle Tennessee,10,1991
10/19/91,Navy,14,Temple,21,16.5,Temple,21,Navy,14,1991
10/19/91,North Carolina,9,Virginia,14,8,Virginia,14,North Carolina,9,1991
10/19/91,Notre Dame,28,Air Force,15,-19.5,Notre Dame,28,Air Force,15,1991
10/19/91,Northern Illinois,10,Florida,41, ,Florida,41,Northern Illinois,10,1991
10/19/91,Northwestern,3,Ohio State,34,26,Ohio State,34,Northwestern,3,1991
10/19/91,Ohio,0,Miami-Ohio,34, ,Miami-Ohio,34,Ohio,0,1991
10/19/91,Oklahoma State,7,Missouri,41,8,Missouri,41,Oklahoma State,7,1991
10/19/91,Pacific,47,San Jose State,64, ,San Jose State,64,Pacific,47,1991
10/19/91,Rutgers,17,Penn State,37,26,Penn State,37,Rutgers,17,1991
10/19/91,San Diego State,28,UTEP,21,-3,San Diego State,28,UTEP,21,1991
10/19/91,S-M-U,20,Houston,49,26,Houston,49,S-M-U,20,1991
10/19/91,Stanford,24,Southern Cal,21,7,Stanford,24,Southern Cal,21,1991
10/19/91,Syracuse,31,Pittsburgh,27,-2,Syracuse,31,Pittsburgh,27,1991
10/19/91,Texas Christian,39,Rice,28,3.5,Texas Christian,39,Rice,28,1991
10/19/91,Tennessee,19,Alabama,24,2,Alabama,24,Tennessee,19,1991
10/19/91,Texas,13,Arkansas,14,-9,Arkansas,14,Texas,13,1991
10/19/91,Toledo,21,Bowling Green,24, ,Bowling Green,24,Toledo,21,1991
10/19/91,Tulane,14,Southern Miss,47,24,Southern Miss,47,Tulane,14,1991
10/19/91,Texas A+M,34,Baylor,12,4,Texas A+M,34,Baylor,12,1991
10/19/91,U.C.L.A.,44,Oregon State,7,-24,U.C.L.A.,44,Oregon State,7,1991
10/19/91,Washington,24,California,17,-16,Washington,24,California,17,1991
10/19/91,Washington State,17,Arizona State,3,9,Washington State,17,Arizona State,3,1991
10/19/91,Wisconsin,7,Purdue,28,5,Purdue,28,Wisconsin,7,1991
10/19/91,Western Michigan,24,Eastern Michigan,42, ,Eastern Michigan,42,Western Michigan,24,1991
10/19/91,West Virginia,31,Boston College,24,1,West Virginia,31,Boston College,24,1991
10/19/91,Wyoming,39,New Mexico,19,-12,Wyoming,39,New Mexico,19,1991
10/25/91,Michigan,52,Minnesota,6, ,Michigan,52,Minnesota,6,1991
10/26/91,Ball State,3,Central Michigan,10, ,Central Michigan,10,Ball State,3,1991
10/26/91,Boston College,28,Army,17,-6.5,Boston College,28,Army,17,1991
10/26/91,Bowling Green,23,Western Michigan,10, ,Bowling Green,23,Western Michigan,10,1991
10/26/91,Brigham Young,41,New Mexico,23,-30,Brigham Young,41,New Mexico,23,1991
10/26/91,Colorado,10,Kansas State,0,-22,Colorado,10,Kansas State,0,1991
10/26/91,Colorado State,28,Wyoming,35,2,Wyoming,35,Colorado State,28,1991
10/26/91,Delaware,29,Navy,25, ,Delaware,29,Navy,25,1991
10/26/91,Duke,17,Maryland,13,-1,Duke,17,Maryland,13,1991
10/26/91,Florida State,27,Louisiana State,16,-28,Florida State,27,Louisiana State,16,1991
10/26/91,Houston,18,Texas A+M,27,13.5,Texas A+M,27,Houston,18,1991
10/26/91,Illinois,11,Northwestern,17,-21.5,Northwestern,17,Illinois,11,1991
10/26/91,Indiana,28,Wisconsin,20,-14,Indiana,28,Wisconsin,20,1991
10/26/91,Iowa,31,Purdue,21,-12,Iowa,31,Purdue,21,1991
10/26/91,Kansas,3,Oklahoma,41,13,Oklahoma,41,Kansas,3,1991
10/26/91,Kent State,40,Ohio,45, ,Ohio,45,Kent State,40,1991
10/26/91,Kentucky,27,Georgia,49,17,Georgia,49,Kentucky,27,1991
10/26/91,Louisville,13,Virginia Tech,41,21,Virginia Tech,41,Louisville,13,1991
10/26/91,Louisiana Tech,14,UL-Lafayette,14, ,Louisiana Tech,14,UL-Lafayette,14,1991
10/26/91,Michigan State,17,Ohio State,27,14.5,Ohio State,27,Michigan State,17,1991
10/26/91,Miami-Florida,36,Arizona,9,-26,Miami-Florida,36,Arizona,9,1991
10/26/91,Miami-Ohio,7,Toledo,24, ,Toledo,24,Miami-Ohio,7,1991
10/26/91,Missouri,6,Nebraska,63,20,Nebraska,63,Missouri,6,1991
10/26/91,Mississippi State,24,Auburn,17,6.5,Mississippi State,24,Auburn,17,1991
10/26/91,North Carolina,14,Georgia Tech,35,10.5,Georgia Tech,35,North Carolina,14,1991
10/26/91,No Carolina State,19,Clemson,29,6.5,Clemson,29,No Carolina State,19,1991
10/26/91,Northern Illinois,7,Akron,17, ,Akron,17,Northern Illinois,7,1991
10/26/91,New Mexico State,20,Pacific,27, ,Pacific,27,New Mexico State,20,1991
10/26/91,Oklahoma State,6,Iowa State,6,6,Oklahoma State,6,Iowa State,6,1991
10/26/91,Oregon,7,Washington,29,31.5,Washington,29,Oregon,7,1991
10/26/91,Oregon State,10,Stanford,40,30,Stanford,40,Oregon State,10,1991
10/26/91,Pittsburgh,23,East Carolina,24,4.5,East Carolina,24,Pittsburgh,23,1991
10/26/91,Rice,20,Texas Tech,40,2.5,Texas Tech,40,Rice,20,1991
10/26/91,Southern Cal,20,Notre Dame,24,13.5,Notre Dame,24,Southern Cal,20,1991
10/26/91,San Diego State,24,Utah,21,1.5,San Diego State,24,Utah,21,1991
10/26/91,San Jose State,20,California,41, ,California,41,San Jose State,20,1991
10/26/91,Southern Miss,7,Cincinnati,17,-15.5,Cincinnati,17,Southern Miss,7,1991
10/26/91,Missouri State,37,Arkansas State,20, ,Missouri State,37,Arkansas State,20,1991
10/26/91,Syracuse,21,Rutgers,7,-13,Syracuse,21,Rutgers,7,1991
10/26/91,Texas Christian,9,Baylor,26,12,Baylor,26,Texas Christian,9,1991
10/26/91,Texas,34,S-M-U,0,-25,Texas,34,S-M-U,0,1991
10/26/91,Tulsa,33,Memphis,28,1.5,Tulsa,33,Memphis,28,1991
10/26/91,U.C.L.A.,21,Arizona State,16,-7.5,U.C.L.A.,21,Arizona State,16,1991
10/26/91,Nevada-Las Vegas,22,Fresno State,48, ,Fresno State,48,Nevada-Las Vegas,22,1991
10/26/91,UTEP,13,Air Force,20,15.5,Air Force,20,UTEP,13,1991
10/26/91,Utah State,6,Long Beach State,7, ,Long Beach State,7,Utah State,6,1991
10/26/91,Vanderbilt,30,Mississippi,27,12.5,Vanderbilt,30,Mississippi,27,1991
10/26/91,Wake Forest,7,Virginia,48,24.5,Virginia,48,Wake Forest,7,1991
10/26/91,West Virginia,6,Penn State,51,17.5,Penn State,51,West Virginia,6,1991
10/31/91,Brigham Young,40,Colorado State,17,-9.5,Brigham Young,40,Colorado State,17,1991
11/2/91,Air Force,32,New Mexico,34,-22,New Mexico,34,Air Force,32,1991
11/2/91,Arizona State,16,Washington,44,29,Washington,44,Arizona State,16,1991
11/2/91,Baylor,9,Arkansas,5,-7,Baylor,9,Arkansas,5,1991
11/2/91,Bowling Green,17,Miami-Ohio,7, ,Bowling Green,17,Miami-Ohio,7,1991
11/2/91,Cincinnati,17,Kentucky,20,9.5,Kentucky,20,Cincinnati,17,1991
11/2/91,Central Michigan,14,Eastern Michigan,14, ,Central Michigan,14,Eastern Michigan,14,1991
11/2/91,Florida,31,Auburn,10,-10,Florida,31,Auburn,10,1991
11/2/91,Fresno State,19,Utah State,20, ,Utah State,20,Fresno State,19,1991
11/2/91,Florida State,40,Louisville,15,-32,Florida State,40,Louisville,15,1991
11/2/91,Georgia Tech,17,Duke,6,-9,Georgia Tech,17,Duke,6,1991
11/2/91,Iowa State,23,Missouri,22,12,Iowa State,23,Missouri,22,1991
11/2/91,Iowa,16,Ohio State,9,1,Iowa,16,Ohio State,9,1991
11/2/91,Kansas,31,Oklahoma State,0,-8,Kansas,31,Oklahoma State,0,1991
11/2/91,Kansas State,7,Oklahoma,28,21.5,Oklahoma,28,Kansas State,7,1991
11/2/91,Louisiana State,25,Mississippi,22,3,Louisiana State,25,Mississippi,22,1991
11/2/91,Maryland,0,North Carolina,24,8,North Carolina,24,Maryland,0,1991
11/2/91,Memphis,24,Tennessee,52,20.5,Tennessee,52,Memphis,24,1991
11/2/91,Minnesota,8,Indiana,34,17.5,Indiana,34,Minnesota,8,1991
11/2/91,Mississippi State,7,Alabama,13,12,Alabama,13,Mississippi State,7,1991
11/2/91,Navy,0,Notre Dame,38,40,Notre Dame,38,Navy,0,1991
11/2/91,No Carolina State,38,South Carolina,21,-1,No Carolina State,38,South Carolina,21,1991
11/2/91,Nebraska,19,Colorado,19,1.5,Nebraska,19,Colorado,19,1991
11/2/91,UL-Monroe,10,Louisiana Tech,35, ,Louisiana Tech,35,UL-Monroe,10,1991
11/2/91,New Mexico State,35,Fullerton State,12, ,New Mexico State,35,Fullerton State,12,1991
11/2/91,Northwestern,16,Michigan State,13,11.5,Northwestern,16,Michigan State,13,1991
11/2/91,Ohio,6,Ball State,10, ,Ball State,10,Ohio,6,1991
11/2/91,Oregon State,21,Arizona,45,18,Arizona,45,Oregon State,21,1991
11/2/91,Pacific,51,Long Beach State,24, ,Pacific,51,Long Beach State,24,1991
11/2/91,Pittsburgh,12,Boston College,38,-3,Boston College,38,Pittsburgh,12,1991
11/2/91,Purdue,0,Michigan,42,27,Michigan,42,Purdue,0,1991
11/2/91,Rutgers,3,West Virginia,28,6,West Virginia,28,Rutgers,3,1991
11/2/91,Southern Cal,30,California,52,7,California,52,Southern Cal,30,1991
11/2/91,Southern Miss,10,Tulsa,13,5.5,Tulsa,13,Southern Miss,10,1991
11/2/91,S-M-U,10,Texas Christian,18,19.5,Texas Christian,18,S-M-U,10,1991
11/2/91,Stanford,33,Oregon,13,-6,Stanford,33,Oregon,13,1991
11/2/91,UL-Lafayette,13,Northern Illinois,12, ,UL-Lafayette,13,Northern Illinois,12,1991
11/2/91,Temple,6,Syracuse,27,17,Syracuse,27,Temple,6,1991
11/2/91,Toledo,13,Kent State,14, ,Kent State,14,Toledo,13,1991
11/2/91,Texas Tech,15,Texas,23,13.5,Texas,23,Texas Tech,15,1991
11/2/91,Tulane,28,East Carolina,38,24,East Carolina,38,Tulane,28,1991
11/2/91,Texas A+M,38,Rice,21,-19,Texas A+M,38,Rice,21,1991
11/2/91,Nevada-Las Vegas,12,San Jose State,55, ,San Jose State,55,Nevada-Las Vegas,12,1991
11/2/91,Utah,26,Hawaii,52,-2,Hawaii,52,Utah,26,1991
11/2/91,Vanderbilt,41,Army,10,-3,Vanderbilt,41,Army,10,1991
11/2/91,Virginia Military,0,Virginia,42, ,Virginia,42,Virginia Military,0,1991
11/2/91,Washington State,3,U.C.L.A.,44,14,U.C.L.A.,44,Washington State,3,1991
11/2/91,Wake Forest,10,Clemson,28,33,Clemson,28,Wake Forest,10,1991
11/2/91,Wisconsin,6,Illinois,22,17.5,Illinois,22,Wisconsin,6,1991
11/2/91,Wyoming,22,San Diego State,24,10.5,San Diego State,24,Wyoming,22,1991
11/9/91,Akron,24,Virginia Tech,42, ,Virginia Tech,42,Akron,24,1991
11/9/91,Alabama,20,Louisiana State,17,-9,Alabama,20,Louisiana State,17,1991
11/9/91,Arizona,27,Washington State,40,4,Washington State,40,Arizona,27,1991
11/9/91,Arkansas,21,Texas Tech,38,4,Texas Tech,38,Arkansas,21,1991
11/9/91,Army,0,Air Force,25,15,Air Force,25,Army,0,1991
11/9/91,Ball State,9,Toledo,3, ,Ball State,9,Toledo,3,1991
11/9/91,Boston College,33,Temple,13,-6.5,Boston College,33,Temple,13,1991
11/9/91,California,27,Oregon State,14,-32,California,27,Oregon State,14,1991
11/9/91,Clemson,21,North Carolina,6,-6.5,Clemson,21,North Carolina,6,1991
11/9/91,Colorado,16,Oklahoma State,12,-29,Colorado,16,Oklahoma State,12,1991
11/9/91,Colorado State,32,San Diego State,42,10.5,San Diego State,42,Colorado State,32,1991
11/9/91,Duke,14,Wake Forest,31,-10.5,Wake Forest,31,Duke,14,1991
11/9/91,East Carolina,48,Southern Miss,20,-1,East Carolina,48,Southern Miss,20,1991
11/9/91,Eastern Michigan,13,Ohio,10, ,Eastern Michigan,13,Ohio,10,1991
11/9/91,Florida,45,Georgia,13,-12,Florida,45,Georgia,13,1991
11/9/91,Fresno State,59,Pacific,14, ,Fresno State,59,Pacific,14,1991
11/9/91,Fullerton State,7,San Jose State,35, ,San Jose State,35,Fullerton State,7,1991
11/9/91,Furman,17,Georgia Tech,19, ,Georgia Tech,19,Furman,17,1991
11/9/91,Illinois,41,Purdue,14,-6.5,Illinois,41,Purdue,14,1991
11/9/91,Indiana,21,Iowa,38,5,Iowa,38,Indiana,21,1991
11/9/91,Kent State,7,Bowling Green,35, ,Bowling Green,35,Kent State,7,1991
11/9/91,Kansas State,37,Iowa State,7,-4,Kansas State,37,Iowa State,7,1991
11/9/91,Kentucky,7,Vanderbilt,17,8,Vanderbilt,17,Kentucky,7,1991
11/9/91,Long Beach State,24,New Mexico State,28, ,New Mexico State,28,Long Beach State,24,1991
11/9/91,Louisville,7,Memphis,35,9,Memphis,35,Louisville,7,1991
11/9/91,Michigan State,20,Wisconsin,7,-1,Michigan State,20,Wisconsin,7,1991
11/9/91,Miami-Ohio,23,Western Michigan,24, ,Western Michigan,24,Miami-Ohio,23,1991
11/9/91,Middle Tennessee,10,Cincinnati,30, ,Cincinnati,30,Middle Tennessee,10,1991
11/9/91,Navy,7,Tulane,34,3.5,Tulane,34,Navy,7,1991
11/9/91,Nebraska,59,Kansas,23,-15.5,Nebraska,59,Kansas,23,1991
11/9/91,New Mexico,7,Utah,30,18,Utah,30,New Mexico,7,1991
11/9/91,Northwestern,14,Michigan,59,37,Michigan,59,Northwestern,14,1991
11/9/91,Ohio State,35,Minnesota,6,-14,Ohio State,35,Minnesota,6,1991
11/9/91,Oklahoma,56,Missouri,16,-18,Oklahoma,56,Missouri,16,1991
11/9/91,Oregon,21,Arizona State,24,9,Arizona State,24,Oregon,21,1991
11/9/91,Penn State,47,Maryland,7,-27,Penn State,47,Maryland,7,1991
11/9/91,Rice,31,S-M-U,10,-9,Rice,31,S-M-U,10,1991
11/9/91,Rutgers,17,Pittsburgh,22,10.5,Pittsburgh,22,Rutgers,17,1991
11/9/91,South Carolina,10,Florida State,38,25,Florida State,38,South Carolina,10,1991
11/9/91,Southern Illinois,16,Louisiana Tech,48, ,Louisiana Tech,48,Southern Illinois,16,1991
11/9/91,UL-Lafayette,7,Auburn,50,20.5,Auburn,50,UL-Lafayette,7,1991
11/9/91,Tennessee,35,Notre Dame,34,6.5,Tennessee,35,Notre Dame,34,1991
11/9/91,Texas,14,Houston,23,-1,Houston,23,Texas,14,1991
11/9/91,Troy,17,Arkansas State,20, ,Arkansas State,20,Troy,17,1991
11/9/91,Texas A+M,44,Texas Christian,7,-14,Texas A+M,44,Texas Christian,7,1991
11/9/91,U.C.L.A.,10,Stanford,27,-4,Stanford,27,U.C.L.A.,10,1991
11/9/91,UTEP,41,Hawaii,24,6.5,UTEP,41,Hawaii,24,1991
11/9/91,Utah State,27,Nevada-Las Vegas,14, ,Utah State,27,Nevada-Las Vegas,14,1991
11/9/91,Virginia,42,No Carolina State,10,3.5,Virginia,42,No Carolina State,10,1991
11/9/91,Washington,14,Southern Cal,3,-16.5,Washington,14,Southern Cal,3,1991
11/9/91,West Virginia,3,Miami-Florida,27,26.5,Miami-Florida,27,West Virginia,3,1991
11/9/91,Wyoming,31,Brigham Young,56,15,Brigham Young,56,Wyoming,31,1991
11/16/91,Akron,0,Army,19, ,Army,19,Akron,0,1991
11/16/91,Alabama,10,Memphis,7,-11.5,Alabama,10,Memphis,7,1991
11/16/91,Arkansas,3,Texas A+M,13,23.5,Texas A+M,13,Arkansas,3,1991
11/16/91,Auburn,27,Georgia,37,2,Georgia,37,Auburn,27,1991
11/16/91,Arizona State,6,California,25,14,California,25,Arizona State,6,1991
11/16/91,Boston College,16,Syracuse,38,9,Syracuse,38,Boston College,16,1991
11/16/91,Bowling Green,14,Ball State,13, ,Bowling Green,14,Ball State,13,1991
11/16/91,Brigham Young,52,San Diego State,52,-5,Brigham Young,52,San Diego State,52,1991
11/16/91,East Carolina,24,Virginia Tech,17,4.5,East Carolina,24,Virginia Tech,17,1991
11/16/91,Fullerton State,7,Fresno State,38, ,Fresno State,38,Fullerton State,7,1991
11/16/91,Hawaii,35,San Jose State,35, ,Hawaii,35,San Jose State,35,1991
11/16/91,Houston,41,Rice,21,-9.5,Houston,41,Rice,21,1991
11/16/91,Iowa State,13,Nebraska,38,35.5,Nebraska,38,Iowa State,13,1991
11/16/91,Illinois State,24,Northern Illinois,27, ,Northern Illinois,27,Illinois State,24,1991
11/16/91,Indiana,16,Ohio State,20,4,Ohio State,20,Indiana,16,1991
11/16/91,Iowa,24,Northwestern,10,-20.5,Iowa,24,Northwestern,10,1991
11/16/91,Kansas,24,Colorado,30,17,Colorado,30,Kansas,24,1991
11/16/91,Kentucky,26,Florida,35,36.5,Florida,35,Kentucky,26,1991
11/16/91,Louisville,0,Tulsa,40,16.5,Tulsa,40,Louisville,0,1991
11/16/91,Michigan State,17,Purdue,27,2,Purdue,27,Michigan State,17,1991
11/16/91,Maryland,7,Clemson,40,24,Clemson,40,Maryland,7,1991
11/16/91,Miami-Florida,17,Florida State,16,3,Miami-Florida,17,Florida State,16,1991
11/16/91,Miami-Ohio,20,Kent State,9, ,Miami-Ohio,20,Kent State,9,1991
11/16/91,Michigan,20,Illinois,0,-10,Michigan,20,Illinois,0,1991
11/16/91,Mississippi,25,Tennessee,36,16.5,Tennessee,36,Mississippi,25,1991
11/16/91,Missouri,0,Kansas State,32,9.5,Kansas State,32,Missouri,0,1991
11/16/91,Mississippi State,28,Louisiana State,19,-4.5,Mississippi State,28,Louisiana State,19,1991
11/16/91,No Carolina State,32,Duke,31,-7,No Carolina State,32,Duke,31,1991
11/16/91,Notre Dame,13,Penn State,35,3.5,Penn State,35,Notre Dame,13,1991
11/16/91,New Mexico,38,Colorado State,36,15,New Mexico,38,Colorado State,36,1991
11/16/91,New Mexico State,28,Nevada-Las Vegas,38, ,Nevada-Las Vegas,38,New Mexico State,28,1991
11/16/91,Oklahoma State,6,Oklahoma,21,31,Oklahoma,21,Oklahoma State,6,1991
11/16/91,Oregon,7,U.C.L.A.,16,19,U.C.L.A.,16,Oregon,7,1991
11/16/91,Pacific,14,Utah State,21, ,Utah State,21,Pacific,14,1991
11/16/91,Southern Cal,14,Arizona,31,-8.5,Arizona,31,Southern Cal,14,1991
11/16/91,South Carolina,17,North Carolina,21,3.5,North Carolina,21,South Carolina,17,1991
11/16/91,Southern Miss,14,Louisiana Tech,30, ,Louisiana Tech,30,Southern Miss,14,1991
11/16/91,Stanford,49,Washington State,14,-7,Stanford,49,Washington State,14,1991
11/16/91,UL-Lafayette,17,Arkansas State,13, ,UL-Lafayette,17,Arkansas State,13,1991
11/16/91,Texas Christian,0,Texas,32,16.5,Texas,32,Texas Christian,0,1991
11/16/91,Temple,0,Rutgers,41,6,Rutgers,41,Temple,0,1991
